6 squares | u1 = 2 | v1 = 3 | u2 = 19 | v2 = 22 | [508369, 207025, 1426681, 1632337, 714025, -204287, 1369, 1221025, 919681]
6 squares | u1 = 2 | v1 = 3 | u2 = 19 | v2 = 22 | [508369, 1426681, 207025, 412681, 714025, 1015369, 1221025, 1369, 919681]
6 squares | u1 = 2 | v1 = 3 | u2 = 25 | v2 = 36 | [215414329, 180821809, 1474716049, 1882952449, 623650729, -635650991, -227414591, 1066479649, 1031887129]
6 squares | u1 = 2 | v1 = 3 | u2 = 5 | v2 = 38 | [3463321, 1079521, 1931041, 625681, 2157961, 3690241, 2384881, 3236401, 852601]
6 squares | u1 = 2 | v1 = 3 | u2 = 35 | v2 = 46 | [5424241, 19088161, 8974441, 14712481, 11162281, 7612081, 13350121, 3236401, 16900321]
6 squares | u1 = 2 | v1 = 3 | u2 = 38 | v2 = 47 | [7879249, 22819729, 9334249, 14799409, 13344409, 11889409, 17354569, 3869089, 18809569]
6 squares | u1 = 2 | v1 = 3 | u2 = 5 | v2 = 48 | [546951769, 1567605649, 635532769, 1005277729, 916696729, 828115729, 1197860689, 265787809, 1286441689]
6 squares | u1 = 2 | v1 = 3 | u2 = 20 | v2 = 49 | [284089, 2267378689, 1710056929, 3035679409, 1325906569, -383866271, 941756209, 384434449, 2651529049]
6 squares | u1 = 2 | v1 = 3 | u2 = 44 | v2 = 49 | [2501100121, 5435965441, 1599385921, 2277102961, 3178817161, 4080531361, 4758248401, 921668881, 3856534201]
6 squares | u1 = 2 | v1 = 3 | u2 = 2 | v2 = 55 | [7845601, 2660161, 17018761, 18348001, 9174841, 1681, 1330921, 15689521, 10504081]
6 squares | u1 = 2 | v1 = 3 | u2 = 33 | v2 = 56 | [2719201, 5175625, 45657049, 60788473, 17850625, -25087223, -9955799, 30525625, 32982049]
6 squares | u1 = 2 | v1 = 3 | u2 = 33 | v2 = 56 | [2719201, 45657049, 5175625, 20307049, 17850625, 15394201, 30525625, -9955799, 32982049]
6 squares | u1 = 2 | v1 = 3 | u2 = 35 | v2 = 58 | [3690241, 36012001, 23474521, 40843201, 21058921, 1274641, 18643321, 6105841, 38427601]
6 squares | u1 = 2 | v1 = 3 | u2 = 27 | v2 = 70 | [58701361, 152881, 36202681, 9186961, 31685641, 54184321, 27168601, 63218401, 4669921]
6 squares | u1 = 2 | v1 = 3 | u2 = 59 | v2 = 74 | [45387169, 137194369, 58102009, 92942689, 80227849, 67513009, 102353689, 23261329, 115068529]
6 squares | u1 = 2 | v1 = 3 | u2 = 59 | v2 = 74 | [45387169, 172035049, 23261329, 58102009, 80227849, 102353689, 137194369, -11579351, 115068529]
6 squares | u1 = 2 | v1 = 3 | u2 = 52 | v2 = 101 | [1528106281, 48129778225, 34777401169, 61394390113, 28145095225, -5104199663, 21512789281, 8160412225, 54762084169]
6 squares | u1 = 2 | v1 = 3 | u2 = 52 | v2 = 101 | [1528106281, 74746767169, 8160412225, 34777401169, 28145095225, 21512789281, 48129778225, -18456576719, 54762084169]
6 squares | u1 = 2 | v1 = 3 | u2 = 60 | v2 = 109 | [3892137769, 69262133329, 48354038929, 84964671169, 40502770009, -3959131151, 32651501089, 11743406689, 77113402249]
6 squares | u1 = 2 | v1 = 3 | u2 = 4 | v2 = 111 | [130347889, 260273689, 65983129, 87836809, 152201569, 216566329, 238420009, 44129449, 174055249]
6 squares | u1 = 2 | v1 = 3 | u2 = 4 | v2 = 111 | [130347889, 282127369, 44129449, 65983129, 152201569, 238420009, 260273689, 22275769, 174055249]
6 squares | u1 = 2 | v1 = 3 | u2 = 86 | v2 = 131 | [1037170489, 162996289, 608971969, 174847729, 603046249, 1031244769, 597120529, 1043096209, 168922009]
6 squares | u1 = 2 | v1 = 3 | u2 = 98 | v2 = 169 | [33918957241, 420947928025, 283612697809, 495853601593, 246159861025, -3533879543, 208707024241, 71371794025, 458400764809]
6 squares | u1 = 2 | v1 = 3 | u2 = 98 | v2 = 169 | [33918957241, 633188831809, 71371794025, 283612697809, 246159861025, 208707024241, 420947928025, -140869109759, 458400764809]
6 squares | u1 = 2 | v1 = 3 | u2 = 99 | v2 = 194 | [4118379049, 111872929, 2520554929, 652444849, 2250268969, 3848093089, 1979983009, 4388665009, 382158889]
6 squares | u1 = 2 | v1 = 3 | u2 = 92 | v2 = 197 | [5888874121, 109502089921, 1017620456161, 1389402055441, 377670473401, -634061108639, -262279509359, 645838856881, 749452072681]
6 squares | u1 = 2 | v1 = 3 | u2 = 78 | v2 = 211 | [5151363529, 740090281225, 553117429921, 980752424617, 432786358225, -115179708167, 312455286529, 125482435225, 860421352921]
6 squares | u1 = 2 | v1 = 3 | u2 = 78 | v2 = 211 | [5151363529, 1167725275921, 125482435225, 553117429921, 432786358225, 312455286529, 740090281225, -302152559471, 860421352921]
6 squares | u1 = 2 | v1 = 3 | u2 = 60 | v2 = 229 | [77113402249, 907631573809, 607536020209, 1061182950049, 530760332089, 337714129, 453984643969, 153889090369, 984407261929]
6 squares | u1 = 2 | v1 = 3 | u2 = 29 | v2 = 260 | [451351517929, 229524353569, 1693998562369, 2034271855729, 791624811289, -451022233151, -110748939791, 1353725269009, 1131898104649]
6 squares | u1 = 2 | v1 = 3 | u2 = 29 | v2 = 260 | [451351517929, 1693998562369, 229524353569, 569797646929, 791624811289, 1013451975649, 1353725269009, -110748939791, 1131898104649]
6 squares | u1 = 2 | v1 = 3 | u2 = 56 | v2 = 289 | [389651856841, 2170226902561, 1247405114641, 2126847882481, 1269094624681, 411341366881, 1290784134721, 367962346801, 2148537392521]
